"Round","Date","Gender","District","Ward","Age","Ethnicity","Ethnicity_Other","Occupation","Occupation_Other","Do_you_have_any_health_problem","A0JS","A1JS","B0JS","C0JS","C1JS","D0JS","E0JS","Month"
1,"2015-07-16","Female","Bhaktapur",2,"40 to 54","Newar",NA,"Other","homemaker","No difficulty.","Not at all","Short term shelter / tent shelter","Not at all","Not at all","How to get shelter materials","Not at all","Don't know",7
1,"2015-07-16","Male","Bhaktapur",2,"40 to 54","Chhetri",NA,"Government Services (i.e. Teacher)",NA,"Yes, some difficulty.","Not at all","Long term shelter / housing","Not at all","Don't know",NA,"Not at all","Not at all",7
1,"2015-07-16","Female","Bhaktapur",2,"25 to 39","Chhetri",NA,"NGO Worker / Business",NA,"No difficulty.","Not at all","Long term shelter / housing","Not at all","Mostly yes",NA,"Not at all","Not at all",7
1,"2015-07-16","Female","Bhaktapur",2,"40 to 54","Brahmin",NA,"Other","homemaker","No difficulty.","Not at all","Long term shelter / housing","Not at all","Not at all","News about government decision","Don't know","Don't know",7
1,"2015-07-16","Male","Bhaktapur",6,"55+","Newar",NA,"Skilled Worker (i.e. Carpenter)",NA,"No difficulty.","Mostly yes",NA,"Very little","Very little","How to get shelter materials","Mostly yes","Don't know",7
1,"2015-07-16","Male","Bhaktapur",4,"25 to 39","Newar",NA,"Farmer / Laborer",NA,"No difficulty.","Not at all","Long term shelter / housing","Not at all","Mostly yes",NA,"Not at all","Very little",7
1,"2015-07-16","Female","Bhaktapur",6,"40 to 54","Newar",NA,"Skilled Worker (i.e. Carpenter)",NA,"No difficulty.","Mostly yes",NA,"Not at all","Not at all","News about government decision","Not at all","Mostly yes",7
1,"2015-07-17","Male","Bhaktapur",3,"55+","Newar",NA,"Farmer / Laborer",NA,"No difficulty.","Not at all","Long term shelter / housing","Not at all","Not at all","News about government decision","Not at all","Not at all",7
1,"2015-07-15","Male","Bhaktapur",3,"Refused","Newar",NA,"Other","Businessman","No difficulty.","Not at all","Short term shelter / tent shelter","Not at all","Not at all","News about government decision","Not at all","Don't know",7
1,"2015-07-15","Female","Bhaktapur",3,"40 to 54","Newar",NA,"Other","homemaker","No difficulty.","Not at all","Short term shelter / tent shelter","Not at all","Not at all","How to get shelter materials","Don't know","Don't know",7
1,"2015-07-15","Female","Bhaktapur",3,"25 to 39","Newar",NA,"Other","housewife","No difficulty.","Not at all","Food","Very little","Not at all","How to get shelter materials","Mostly yes","Not at all",7
1,"2015-07-17","Male","Bhaktapur",5,"25 to 39","Newar",NA,"Skilled Worker (i.e. Carpenter)",NA,"Yes, some difficulty.","Not at all","Clean water","Not at all","Not at all","News about government decision","Very little","Completely yes",7
1,"2015-07-18","Female","Bhaktapur",3,"25 to 39","Dalit",NA,"Other","housewife","No difficulty.","Not at all","Long term shelter / housing","Not at all","Not at all","News about government decision","Not at all","Not at all",7
1,"2015-07-18","Female","Bhaktapur",3,"25 to 39","Chhetri",NA,"Other","homemaker","Yes, some difficulty.","Not at all","Long term shelter / housing","Not at all","Not at all","News about government decision","Not at all","Don't know",7
1,"2015-07-18","Female","Bhaktapur",3,"15 to 24","Tamang",NA,"Skilled Worker (i.e. Carpenter)",NA,"Yes, some difficulty.","Not at all","Long term shelter / housing","Not at all","Not at all","News about government decision","Not at all","Not at all",7
1,"2015-07-18","Male","Bhaktapur",3,"25 to 39","Newar",NA,"Skilled Worker (i.e. Carpenter)",NA,"No difficulty.","Mostly yes",NA,"Mostly yes","Mostly yes",NA,"Don't know","Completely yes",7
