District,Organisation Acronym,Cluster
Bhaktapur,ACF,Child Protection
Bhaktapur,Adara,Health
Bhaktapur,AID,Health
Bhaktapur,Red cross,WASH
Bhaktapur,Red cross,WASH
Bhaktapur,AmeriCares,Health
Bhaktapur,ACTC,Child Protection
Bhaktapur,BNMT,Child Protection
Bhaktapur,BNMT,Child Protection
Bhaktapur,Foundation Madrazo,Health
Bhaktapur,Buddhist Tzu Chi Foundation,Health
Bhaktapur,Caritas,Shelter NFIs
Bhaktapur,Caritas,Shelter NFIs
Bhaktapur,Caritas,Shelter NFIs
Bhaktapur,Caritas,Shelter NFIs
Bhaktapur,CVT,Health
Bhaktapur,CESVI / Alliance 2015,Early Recovery
Bhaktapur,CESVI / Alliance 2015,Early Recovery
Bhaktapur,Child,WASH
Bhaktapur,Child,WASH
Bhaktapur,Child,WASH
Bhaktapur,Child,WASH
Bhaktapur,Child,WASH
Bhaktapur,CWIN,Health
Bhaktapur,CWISH,Education
Bhaktapur,CWISH,Education
Bhaktapur,CWISH,Education
Bhaktapur,CWISH,Education
Bhaktapur,CWISH,Education
Bhaktapur,Christian Aid,Shelter NFIs
Bhaktapur,Christian Aid,Shelter NFIs
Bhaktapur,MTFA,Health
Bhaktapur,CMC-Nepal,Child Protection
Bhaktapur,CMS,Health
Bhaktapur,CWISH,Child Protection
Bhaktapur,CWISH,Child Protection
Bhaktapur,DCA/NCA,WASH
Bhaktapur,DCA/NCA,WASH
Bhaktapur,DCA/NCA,WASH
Bhaktapur,DCWB,Child Protection
Bhaktapur,DCWB,Child Protection
Bhaktapur,DCWB,Child Protection
Bhaktapur,DCWB,Child Protection
Bhaktapur,DCWB,Child Protection
Bhaktapur,DCWB,Child Protection
Bhaktapur,DCWB,Child Protection
Bhaktapur,GIZ/HSSP,Health
Bhaktapur,GIZ/HSSP,WASH
Bhaktapur,DWASHCC,WASH
Bhaktapur,DWASHCC,WASH
Bhaktapur,DWASHCC,WASH
Bhaktapur,DWASHCC,WASH
Bhaktapur,DWASHCC,WASH
Bhaktapur,DWASHCC,WASH
Bhaktapur,FCA,Education
Bhaktapur,FCA,Education
Bhaktapur,FCA,Education
Bhaktapur,FCA,Education
Bhaktapur,FNCCI,WASH
Bhaktapur,FWLD,Protection
Bhaktapur,GlobalMedic,WASH
Bhaktapur,GlobalMedic,WASH
Bhaktapur,GlobalMedic,WASH
Bhaktapur,HI,Child Protection
Bhaktapur,HI,Health
Bhaktapur,HERD,Health
Bhaktapur,HERD,Health
Bhaktapur,HKI,Health
Bhaktapur,HKI,Nutrition
Bhaktapur,HKI,Nutrition
Bhaktapur,HKI,Nutrition
Bhaktapur,HKI,Nutrition
Bhaktapur,HKI,Nutrition
Bhaktapur,HKI,Nutrition
Bhaktapur,HKI,Nutrition
Bhaktapur,HKI,Nutrition
Bhaktapur,HKI,Nutrition
Bhaktapur,HKI,Nutrition
Bhaktapur,HKI,Nutrition
Bhaktapur,HelpAge,Health
Bhaktapur,HelpAge,Health
Bhaktapur,HelpAge,Health
Bhaktapur,HelpAge,Health
Bhaktapur,HelpAge,Health
Bhaktapur,HelpAge,Shelter NFIs
Bhaktapur,HelpAge,Shelter NFIs
Bhaktapur,HelpAge,Shelter NFIs
Bhaktapur,HDRVG,Shelter NFIs
Bhaktapur,HDRVG,Shelter NFIs
Bhaktapur,HDRVG,Shelter NFIs
Bhaktapur,HDRVG,Shelter NFIs
Bhaktapur,HDRVG,Shelter NFIs
Bhaktapur,HDRVG,Shelter NFIs
Bhaktapur,IMC,WASH
Bhaktapur,IMC,WASH
Bhaktapur,IMC,WASH
Bhaktapur,IMC,WASH
Bhaktapur,IMA,Health
Bhaktapur,IMC,Health
Bhaktapur,IMC,Health
Bhaktapur,IOM,Health
Bhaktapur,JANTRA,Health
Bhaktapur,JANTRA,Health
Bhaktapur,JANTRA,Health
Bhaktapur,JANTRA,Health
Bhaktapur,JSI,Health
Bhaktapur,JSI,Health
Bhaktapur,Kopila ,Child Protection
Bhaktapur,Kopila ,Child Protection
Bhaktapur,KDRT,Health
Bhaktapur,KOSHISH,Child Protection
Bhaktapur,LWCWC,Health
Bhaktapur,Lumanti,Shelter NFIs
Bhaktapur,Lumanti,Shelter NFIs
Bhaktapur,LWF,Shelter NFIs
Bhaktapur,LWF,Shelter NFIs
Bhaktapur,LWF,Shelter NFIs
