Agency,Date,District,VDC_Municipality,Ward,Age,Gender,Ethnicity,Ethnicity_Other,Occupation,Occupation_Other,Do_you_have_any_health_problem,A0JS,A1JS,A2JS,A3JS,B0JS,B1JS,B2JS,C0JS,C1JS,C2JS,D0JS,D1JS,D2JS,E0JS,E1JS,E2JS,F0JS,H0JS,I0JS,J0JS,J1JS,J2JS
accountability,2015-07-16,bhaktapur,Changunarayan,2,40_54,female,newar,n/a,other,homemaker,no_difficulty,1___not_at_all,short_term_shelter__tent_shelt,psychosocial_counseling,livelihoods,1___not_at_all,building_mater,cash_for_work,1___not_at_all,how_to_get_shelter_materials,news_about_government_decision,1___not_at_all,building_mater,cash_for_work,don_t_know,n/a,n/a,4___mostly_yes,2___not_very_m,1___not_at_all,1___not_at_all,long_term_shelter__housing,healthcare
accountability,2015-07-16,bhaktapur,Changunarayan,2,40_54,male,chhetri,n/a,government_service__i_e__teach,n/a,yes__some_diff,1___not_at_all,long_term_shelter__housing,clean_water,healthcare,1___not_at_all,housing_inspec,cash_for_work,don_t_know,n/a,n/a,1___not_at_all,cash_for_work,building_mater,1___not_at_all,based_on_caste,based_on_polit,5___completely_yes,1___not_at_all,1___not_at_all,n/a,n/a,n/a
accountability,2015-07-16,bhaktapur,Changuarayan,2,25_39,female,chhetri,n/a,ngo_worker_business,n/a,no_difficulty,1___not_at_all,long_term_shelter__housing,clean_water,psychosocial_counseling,1___not_at_all,building_mater,cash_for_work,4___mostly_yes,n/a,n/a,1___not_at_all,building_mater,cash_for_work,1___not_at_all,based_on_caste,based_on_polit,1___not_at_all,1___not_at_all,1___not_at_all,1___not_at_all,long_term_shelter__housing,option_18
accountability,2015-07-16,bhaktapur,Changunarayan,2,40_54,female,brahmin,n/a,other,homemaker,no_difficulty,1___not_at_all,long_term_shelter__housing,housing_inspections,healthcare,1___not_at_all,building_mater,cash_for_work,1___not_at_all,news_about_government_decision,how_to_get_shelter_materials,don_t_know,n/a,n/a,don_t_know,n/a,n/a,2___very_little,2___not_very_m,1___not_at_all,1___not_at_all,toilets_sanitation,option_16
accountability,2015-07-16,bhaktapur,Jagati,6,55,male,newar,n/a,skilled_worker__i_e__carpenter,n/a,no_difficulty,4___mostly_yes,n/a,n/a,n/a,2___very_little,cash_for_work,housing_inspec,2___very_little,how_to_get_shelter_materials,news_about_government_decision,4___mostly_yes,n/a,n/a,don_t_know,n/a,n/a,1___not_at_all,1___not_at_all,1___not_at_all,n/a,n/a,n/a
accountability,2015-07-16,bhaktapur,Jagati,4,25_39,male,newar,n/a,farmer_laborer,n/a,no_difficulty,1___not_at_all,long_term_shelter__housing,clean_water,seeds_and_fertilizers,1___not_at_all,building_mater,cash_for_work,4___mostly_yes,n/a,n/a,1___not_at_all,building_mater,cash_for_work,2___very_little,first_come__fi,only_if_damage,1___not_at_all,1___not_at_all,1___not_at_all,n/a,n/a,n/a
accountability,2015-07-16,bhaktapur,Jagati,6,40_54,female,newar,n/a,skilled_worker__i_e__carpenter,n/a,no_difficulty,4___mostly_yes,n/a,n/a,n/a,1___not_at_all,cash_for_work,building_mater,1___not_at_all,news_about_government_decision,how_to_get_shelter_materials,1___not_at_all,cash_for_work,building_mater,4___mostly_yes,n/a,n/a,4___mostly_yes,1___not_at_all,1___not_at_all,3___neutral,short_term_shelter__tent_shelt,financial_support
accountability,2015-07-17,bhaktapur,"Madhyapur Thimi, Bodey",3,55,male,newar,n/a,farmer_laborer,n/a,no_difficulty,1___not_at_all,long_term_shelter__housing,livelihoods,financial_support,1___not_at_all,cash_for_work,building_mater,1___not_at_all,news_about_government_decision,how_to_get_shelter_materials,1___not_at_all,cash_for_work,building_mater,1___not_at_all,only_if_damage,based_on_polit,1___not_at_all,1___not_at_all,1___not_at_all,n/a,n/a,n/a
accountability,2015-07-15,bhaktapur,"Madhyapur Thimi, Bodey",3,refused,male,newar,n/a,other,Businessman,no_difficulty,1___not_at_all,short_term_shelter__tent_shelt,financial_support,psychosocial_counseling,1___not_at_all,building_mater,cash_for_work,1___not_at_all,news_about_government_decision,how_to_get_shelter_materials,1___not_at_all,building_mater,cash_for_work,don_t_know,n/a,n/a,4___mostly_yes,1___not_at_all,1___not_at_all,n/a,n/a,n/a
accountability,2015-07-15,bhaktapur,"Madhyapur Thimi, Bodey",3,40_54,female,newar,n/a,other,homemaker,no_difficulty,1___not_at_all,short_term_shelter__tent_shelt,financial_support,psychosocial_counseling,1___not_at_all,cash_for_work,building_mater,1___not_at_all,how_to_get_shelter_materials,news_about_government_decision,don_t_know,n/a,n/a,don_t_know,n/a,n/a,2___very_little,1___not_at_all,1___not_at_all,1___not_at_all,sanitary_products,healthcare
accountability,2015-07-15,bhaktapur,"Madhyapur Thimi, Bodey",3,25_39,female,newar,n/a,other,housewife,no_difficulty,1___not_at_all,food,financial_support,short_term_shelter__tent_shelt,2___very_little,housing_inspec,food_aid,1___not_at_all,how_to_get_shelter_materials,news_about_government_decision,4___mostly_yes,n/a,n/a,1___not_at_all,first_come__fi,only_if_damage,4___mostly_yes,1___not_at_all,don_t_know,1___not_at_all,child_protection,short_term_shelter__tent_shelt
accountability,2015-07-17,bhaktapur,Bhalachhe,5,25_39,male,newar,n/a,skilled_worker__i_e__carpenter,n/a,yes__some_diff,1___not_at_all,clean_water,housing_inspections,toilets_sanitation,1___not_at_all,cash_for_work,building_mater,1___not_at_all,news_about_government_decision,how_to_get_shelter_materials,2___very_little,building_mater,cash_for_work,5___completely_yes,n/a,n/a,5___completely_yes,1___not_at_all,1___not_at_all,n/a,n/a,n/a
accountability,2015-07-18,bhaktapur,Dattatreya,3,25_39,female,dalit,n/a,other,housewife,no_difficulty,1___not_at_all,long_term_shelter__housing,financial_support,livelihoods,1___not_at_all,building_mater,cash_for_work,1___not_at_all,news_about_government_decision,how_to_get_shelter_materials,1___not_at_all,building_mater,cash_for_work,1___not_at_all,first_come__fi,based_on_caste,1___not_at_all,1___not_at_all,1___not_at_all,1___not_at_all,short_term_shelter__tent_shelt,financial_support
accountability,2015-07-18,bhaktapur,Dattatreya,3,25_39,female,chhetri,n/a,other,homemaker,yes__some_diff,1___not_at_all,long_term_shelter__housing,psychosocial_counseling,livelihoods,1___not_at_all,building_mater,cash_for_work,1___not_at_all,news_about_government_decision,how_to_get_shelter_materials,1___not_at_all,building_mater,cash_for_work,don_t_know,n/a,n/a,1___not_at_all,1___not_at_all,1___not_at_all,1___not_at_all,long_term_shelter__housing,option_16
accountability,2015-07-18,bhaktapur,Dattatreya,3,15_24,female,tamang,n/a,skilled_worker__i_e__carpenter,n/a,yes__some_diff,1___not_at_all,long_term_shelter__housing,financial_support,livelihoods,1___not_at_all,cash_for_work,building_mater,1___not_at_all,news_about_government_decision,how_to_get_shelter_materials,1___not_at_all,building_mater,cash_for_work,1___not_at_all,because_people,based_on_caste,1___not_at_all,1___not_at_all,1___not_at_all,4___mostly_yes,n/a,n/a
accountability,2015-07-18,bhaktapur,Dattatreya,3,25_39,male,newar,n/a,skilled_worker__i_e__carpenter,n/a,no_difficulty,4___mostly_yes,n/a,n/a,n/a,4___mostly_yes,n/a,n/a,4___mostly_yes,n/a,n/a,don_t_know,n/a,n/a,5___completely_yes,n/a,n/a,4___mostly_yes,4___mostly_yes,don_t_know,n/a,n/a,n/a
accountability,2015-07-19,bhaktapur,Chhaling,4,40_54,male,newar,n/a,farmer_laborer,n/a,no_difficulty,1___not_at_all,long_term_shelter__housing,clean_water,healthcare,1___not_at_all,cash_for_work,building_mater,2___very_little,news_about_government_decision,how_to_get_shelter_materials,1___not_at_all,building_mater,cash_for_work,4___mostly_yes,n/a,n/a,2___very_little,1___not_at_all,1___not_at_all,n/a,n/a,n/a
accountability,2015-07-19,bhaktapur,Chhaling,4,25_39,female,brahmin,n/a,other,housewife,no_difficulty,1___not_at_all,long_term_shelter__housing,clean_water,livelihoods,1___not_at_all,building_mater,cash_for_work,1___not_at_all,news_about_government_decision,how_to_get_shelter_materials,2___very_little,building_mater,cash_for_work,2___very_little,based_on_caste,first_come__fi,1___not_at_all,1___not_at_all,1___not_at_all,1___not_at_all,short_term_shelter__tent_shelt,option_15
accountability,2015-07-19,bhaktapur,Chhaling,4,40_54,female,brahmin,n/a,other,housewife,no_difficulty,1___not_at_all,long_term_shelter__housing,housing_inspections,clean_water,1___not_at_all,building_mater,cash_for_work,1___not_at_all,news_about_government_decision,how_to_get_shelter_materials,1___not_at_all,building_mater,cash_for_work,don_t_know,n/a,n/a,1___not_at_all,1___not_at_all,1___not_at_all,1___not_at_all,long_term_shelter__housing,clean_water
