District,VDC_Municipality,Ward,Age,Gender,Ethnicity,Ethnicity_Other,Occupation,Occupation_Other,Do_you_have_any_health_problem,A0JS,A1JS,A2JS,A3JS,B0JS,B1NOV,B2NOV,C0JS,C1JS,C2JS,D0JS,D1NOV,D2NOV,E0JS,E1JS,E2JS,F0NOV,F1NOV,G0NOV,H0NOV,H1NOV
Bhaktapur,madhyapur_np,9,40-54,female,Chhetri,,farmer_laborer,,no_difficulty,2_not_very_much,livelihoods,seeds_and_fertilizers,financial_support,3_neutral,Government_plans_unclear,relief_distributed_based_on_first_come_first_served,4_somewhat_yes,,,4_somewhat_yes,,,4_somewhat_yes,,,2_not_very_much,house_shelter_will_not_protect_against_cold,2_not_very_much,4_somewhat_yes,strangers
Bhaktapur,madhyapur_np,9,55+,female,Newar,,farmer_laborer,,yes__some_diff,3_neutral,long_term_shelter_(housing),livelihoods,housing_inspections,3_neutral,relifef_distributed_based_on_political_parties,government_plans_unclear,2_not_very_much,how_to_get_healthcare_psychosocial_support,how_to_replace_personal_documentation,4_somewhat_yes,,,5_completely_yes,,,2_not_very_much,not_enough_fuel,don_t_know,5_not_at_all,
Bhaktapur,madhyapur_np,9,40-54,female,Newar,,ngo_worker_bus,,no_difficulty,1_not_at_all,long_term_shelter_(housing),financial_support,livelihoods,2_not_very_much,government_doesn_t_know_what_its_doing,donêt_know_where_distribution_sites_are,2_not_very_much,news_about_government_decisions,how_to_get_healthcare_psychosocial_support,2_not_very_much,relief_distributed_based_on_political_parties,relief_distributed_based_on_severe_damage,don_t_know,,,2_not_very_much,not_enough_fuel,2_not_very_much,5_not_at_all,
Bhaktapur,madhyapur_np,4,40-54,female,Chhetri,,other,housewife,yes__some_diff,2_not_very_much,long_term_shelter_(housing),livelihoods,financial_support,2_not_very_much,Government_plans_unclear,reconstruction_process_taking_too_long,don_t_know,,,2_not_very_much,was_promised_relief_but_never_received,relief_distributed_based_on_first_come_first_served,don_t_know,,,2_not_very_much,not_enough_fuel,2_not_very_much,5_not_at_all,
Bhaktapur,madhyapur_np,6,40-54,female,Newar,,farmer_laborer,,yes__some_diff,1_not_at_all,short_term_shelter_(tent/shelterbox),long_term_shelter__housing,livelihoods,2_not_very_much,was_promised_relief_but_never_received,reconstruction_process_taking_too_long,don_t_know,,,1_not_at_all,was_promised_relief_but_never_received,ngo_plans_unclear,5_completely_yes,,,2_not_very_much,not_enough_fuel,2_not_very_much,don_t_know,
Bhaktapur,madhyapur_np,6,55+,female,Chhetri,,farmer_laborer,,yes__some_diff,1_not_at_all,short_term_shelter_(tent/shelterbox),long_term_shelter__housing,livelihoods,1_not_at_all,relifef_distributed_based_on_political_parties,can_t_get_to_distribution_sites,2_not_very_much,news_about_government_decisions,how_to_register_for_access_support,2_not_very_much,do_not_trust_NGOs,donêt_know_where_distribution_sites_are,5_completely_yes,,,1_not_at_all,house_shelter_will_not_protect_against_cold,1_not_at_all,5_not_at_all,
Bhaktapur,madhyapur_np,5,55+,female,Newar,,other,housewife,yes__some_diff,4_somewhat_yes,,,,4_somewhat_yes,,,3_neutral,how_to_get_healthcare_psychosocial_support,how_to_replace_personal_documentation,4_somewhat_yes,,,4_somewhat_yes,,,2_not_very_much,do_not_have_warm_clothing,3_neutral,3_neutral,strangers
Bhaktapur,madhyapur_np,5,40-54,female,Chhetri,,other,housewife,no_difficulty,3_neutral,livelihoods,seeds_and_fertilizers,financial_support,4_somewhat_yes,,,5_completely_yes,,,4_somewhat_yes,,,3_neutral,first_come_first_served,joint_families,2_not_very_much,not_enough_fuel,3_neutral,4_not_very_much,
Bhaktapur,changurayan,7,40-54,female,Newar,,ngo_worker_bus,,no_difficulty,1_not_at_all,short_term_shelter_(tent/shelterbox),long_term_shelter__housing,healthcare,1_not_at_all,Government_plans_unclear,Do_not_trust_government,3_neutral,how_to_register_for_access_support,how_to_get_shelter_materials,2_not_very_much,relief_distributed_based_on_first_come_first_served,ngo_plans_unclear,3_neutral,only_if_damage_is_severe,joint_families,4_somewhat_yes,,don_t_know,5_not_at_all,
Bhaktapur,madhyapur_np,7,40-54,female,Chhetri,,farmer_laborer,,no_difficulty,2_not_very_much,financial_support,livelihoods,seeds_and_fertilizers,don_t_know,,,4_somewhat_yes,,,2_not_very_much,relief_distributed_based_on_political_parties,ngo_do_not_listen_to_my_concerns,5_completely_yes,,,2_not_very_much,not_enough_fuel,2_not_very_much,don_t_know,
