District,VDC_Municipality,Ward,Age,Gender,Ethnicity,Ethnicity_Other,Occupation,Occupation_Other,Do_you_have_any_health_problem,A0JS,A1JS,A2JS,A3JS,B0JS,B1JAN,B2JAN,C0JS,C1JS,C2JS,D0JS,D1JS,D2JS,E0JS,E1JS,E2JS,F0JAN,F1JAN,G0JAN,G1JAN,G2JAN,I0JAN,J0JAN,J1JAN,J2JAN,L0JAN,L1JAN,L2JAN,M0JAN,M1JAN,M2JAN
Bhaktapur,changunarayan,13,55+,female,Newar,,Others,House wife,"Yes, some difficulty ",4_ Mostly yes,,,,4_Mostly yes,,,4_Mostly yes,,,4_Mostly yes,,,4_Mostly yes,,,4-Mostly yes,,5 _ Not at all         ,,,Don't Know,4 _ Not very much        ,,4-Not very much,5-Not at all,,,2 _ Not very much           ,Reduce risk of future disasters                                    ,Financial support
Bhaktapur,changunarayan,13,55+,male,Newar,,NGO worker/Business,,"Yes, some difficulty ",5 _ Completely yes ,,,,4_Mostly yes,,,4_Mostly yes,,,4_Mostly yes,,,4_Mostly yes,,,5 _ Completely yes        ,,5 _ Not at all         ,,,Don't Know,5 _ Not at all         ,,5-Not at all,Refused,,,4 _ Somewhat yes           ,,
Bhaktapur,changunarayan,13,40-54,male,Newar,,NGO worker/Business,,"Yes, some difficulty",1 _ Not at all        ,Long-term shelter (housing)        ,Short-term shelter (tent/shelterbox)         ,Healthcare,2 _ Not very much           ,Government does not know what itês doing                            ,Reconstruction process taking too long                                   ,2 _ Not very much           ,How to replace personal documentation     ,How to get shelter materials                          ,3 _ Neutral          ,Reconstruction process taking too long                                   ,NGOs do not know what they are doing                                   ,3 _ Neutral           ,"First come, first served                      ",Joint families ,3 _ Neutral           ,House/ Shelter will not keep snow out     ,5 _ Not at all         ,,,Don't Know,5 _ Not at all         ,,5-Not at all,1-Completely yes        ,Personal savings                            ,Gathering enough resources to rebuild entire house at once                   ,2 _ Not very much           ,Repair/reconstruction of community buildings        ,Financial support
Bhaktapur,changunarayan,13,40-54,female,Chhetri,,Farmer/laborer,,"Yes, some difficulty ",1 _ Not at all        ,Long-term shelter (housing)        ,Short-term shelter (tent/shelterbox)         ,Financial support,2 _ Not very much           ,Do not trust government                     ,Government does not know what itês doing                            ,1 _ Not at all        ,How to register for/access support                       ,How to get shelter materials                          ,2 _ Not very much           ,Not included in distributions                ,"Relief distributed based on first come, first served                ",3 _ Neutral           ,"First come, first served                      ",Only if damage is severe ,1 _ Not at all        ,House/Shelter will not protect against cold   ,5 _ Not at all         ,,,Don't Know,5 _ Not at all         ,,4-Not very much,1-Completely yes        ,Government loan         ,Confidence in government support                                ,1 _ Not at all        ,Repair/reconstruction of community buildings        ,Financial support
Bhaktapur,changunarayan,13,55+,male,Chhetri,,Farmer/laborer,,"Yes, a lot of difficulty ",1 _ Not at all        ,Long-term shelter (housing)        ,Short-term shelter (tent/shelterbox)         ,Financial support,2 _ Not very much           ,Government does not know what itês doing                            ,"Relief distributed based on first come, first served                ",2 _ Not very much           ,How to register for/access support                       ,How to get shelter materials                          ,2 _ Not very much           ,Relief distributed based on caste    ,"Relief distributed based on first come, first served                ",2 _ Not very much           ,"First come, first served                      ",Only if damage is severe ,1 _ Not at all        ,House/Shelter will not protect against cold   ,5 _ Not at all         ,,,Don't Know,5 _ Not at all         ,,4-Not very much,1-Completely yes        ,Government loan         ,Confidence in government support                                ,2 _ Not very much           ,Repair/reconstruction of community buildings        ,Financial support
Bhaktapur,jhaukhel,7,40-54,male,Newar,,NGO worker/Business,,No difficulty ,4_ Mostly yes,,,,4_Mostly yes,,,4_Mostly yes,,,2 _ Not very much           ,Relief distributed based on political parties     ,Reconstruction process taking too long                                   ,3 _ Neutral           ,Based on distance from the main road            ,Based on political parties                 ,3 _ Neutral           ,House/Shelter will not protect against cold   ,5 _ Not at all         ,,,4-Mostly yes,5 _ Not at all         ,,5-Not at all,1-Completely yes        ,Government loan         ,Confidence in government support                                ,2 _ Not very much           ,Repair/reconstruction of community buildings        ,News on government decisions            
Bhaktapur,jhaukhel,7,25-39,male,Chhetri,,Others,Student,No difficulty ,4_ Mostly yes,,,,4_Mostly yes,,,3 _ Neutral ,News about government decisions               ,How to get shelter materials                          ,4_Mostly yes,,,3 _ Neutral           ,"First come, first served                      ",Based on political parties                 ,2 _ Not very much           ,House/Shelter will not protect against cold   ,5 _ Not at all         ,,,3 _ Neutral                  ,5 _ Not at all         ,,4-Not very much,1-Completely yes        ,Government loan         ,Confidence in government support                                ,2 _ Not very much           ,Repair/reconstruction of community buildings        ,News on government decisions            
Bhaktapur,jhaukhel,7,40-54,female,Chhetri,,Skilled worker (i.e. carpenter),,No difficulty ,2 _ Not very much,Long-term shelter (housing)        ,Housing inspections,Financial support,2 _ Not very much           ,Reconstruction process taking too long                                   ,"Relief distributed based on first come, first served                ",2 _ Not very much           ,News about government decisions               ,How to replace personal documentation     ,2 _ Not very much           ,"Relief distributed based on first come, first served                ",NGOs do not know what they are doing                                   ,2 _ Not very much           ,"First come, first served                      ",Based on political parties                 ,5 _ Completely yes        ,,5 _ Not at all         ,,,Don't Know,5 _ Not at all         ,,5-Not at all,5-Not at all,,,1 _ Not at all        ,Repair/reconstruction of community buildings        ,News on government decisions            
Bhaktapur,jhaukhel,7,55+,male,Newar,,Farmer/laborer,,No difficulty ,5 _ Completely yes ,,,,4_Mostly yes,,,4_Mostly yes,,,4_Mostly yes,,,3 _ Neutral           ,"First come, first served                      ",Based on political parties                 ,3 _ Neutral           ,House/Shelter will not protect against cold   ,5 _ Not at all         ,,,4-Mostly yes,5 _ Not at all         ,,4-Not very much,1-Completely yes        ,Government loan         ,Waiting for community to start rebuilding                    ,1 _ Not at all        ,Repair/reconstruction of community buildings        ,News on government decisions            
Bhaktapur,jhaukhel,6,40-54,male,Newar,,NGO worker/Business,,No difficulty ,3 _ Neutral ,Housing inspections,Long-term shelter (housing)        ,Financial support,3 _ Neutral          ,Government plans unclear               ,"Relief distributed based on first come, first served                ",3 _ Neutral ,How to replace personal documentation     ,How to register for/access support                       ,3 _ Neutral          ,Reconstruction process taking too long                                   ,NGO plans unclear                             ,2 _ Not very much           ,"First come, first served                      ",Only if damage is severe ,3 _ Neutral           ,House/Shelter will not protect against cold   ,5 _ Not at all         ,,,Don't Know,5 _ Not at all         ,,4-Not very much,1-Completely yes        ,Government loan         ,Confidence in government support                                ,1 _ Not at all        ,Repair/reconstruction of community buildings        ,Financial support
Bhaktapur,jhaukhel,6,25-39,male,Newar,,Skilled worker (i.e. carpenter),,No difficulty ,3 _ Neutral ,Housing inspections,Long-term shelter (housing)        ,Financial support,3 _ Neutral          ,Do not trust government                     ,Government does not know what itês doing                            ,3 _ Neutral ,News about government decisions               ,How to replace personal documentation     ,3 _ Neutral          ,Reconstruction process taking too long                                   ,NGO plans unclear                             ,3 _ Neutral           ,"First come, first served                      ",Only if damage is severe ,4-Mostly yes,,5 _ Not at all         ,,,Don't Know,5 _ Not at all         ,,5-Not at all,1-Completely yes        ,Personal loan (informal)               ,Gathering enough resources to rebuild entire house at once                   ,1 _ Not at all        ,News on government decisions            ,Financial support
Bhaktapur,jhaukhel,6,40-54,male,Newar,,Farmer/laborer,,No difficulty ,3 _ Neutral ,Housing inspections,Long-term shelter (housing)        ,Financial support,3 _ Neutral          ,Government plans unclear               ,Reconstruction process taking too long                                   ,3 _ Neutral ,How to get shelter materials                          ,How to replace personal documentation     ,3 _ Neutral          ,NGO plans unclear                             ,Reconstruction process taking too long                                   ,3 _ Neutral           ,"First come, first served                      ",Only if damage is severe ,4-Mostly yes,,5 _ Not at all         ,,,Don't Know,5 _ Not at all         ,,5-Not at all,1-Completely yes        ,Government loan         ,Confidence in government support                                ,1 _ Not at all        ,Safe spaces for women and children   ,Repair/reconstruction of community buildings        
Bhaktapur,changunarayan,2,55+,male,Chhetri,,Farmer/laborer,,No difficulty ,1 _ Not at all        ,Short-term shelter (tent/shelterbox)   ,Long-term shelter (housing)        ,Financial support,1 _ Not at all        ,Was promised relief but never received           ,Government does not know what itês doing                            ,1 _ Not at all        ,How to register for/access support                       ,How to get shelter materials                          ,1 _ Not at all        ,Was promised relief but never received           ,"Relief distributed based on first come, first served                ",1 _ Not at all        ,"First come, first served                      ",Only if damage is severe ,1 _ Not at all        ,House/Shelter will not protect against cold   ,5 _ Not at all         ,,,3 _ Neutral                  ,5 _ Not at all         ,,4-Not very much,1-Completely yes        ,Government loan         ,Building requirements released by government           ,1 _ Not at all        ,Repair/reconstruction of community buildings        ,News on government decisions            
Bhaktapur,jhaukhel,6,40-54,male,Newar,,NGO worker/Business,,No difficulty ,3 _ Neutral ,Long-term shelter (housing)        ,Financial support             ,Housing inspections,3 _ Neutral          ,Government does not know what itês doing                            ,Reconstruction process taking too long                                   ,3 _ Neutral ,How to replace personal documentation     ,How to get shelter materials                          ,3 _ Neutral          ,Reconstruction process taking too long                                   ,NGO plans unclear                             ,3 _ Neutral           ,"First come, first served                      ",Only if damage is severe ,4-Mostly yes,,5 _ Not at all         ,,,Don't Know,5 _ Not at all         ,,5-Not at all,1-Completely yes        ,Government loan         ,Confidence in government support                                ,1 _ Not at all        ,Repair/reconstruction of community buildings        ,News on government decisions            
Bhaktapur,jhaukhel,6,55+,male,Newar,,NGO worker/Business,,No difficulty ,3 _ Neutral ,Housing inspections,Financial support             ,Long-term shelter (housing)        ,2 _ Not very much           ,Government does not know what itês doing                            ,Reconstruction process taking too long                                   ,3 _ Neutral ,How to replace personal documentation     ,How to get shelter materials                          ,3 _ Neutral          ,NGOs do not know what they are doing                                   ,Reconstruction process taking too long                                   ,3 _ Neutral           ,"First come, first served                      ",Only if damage is severe ,1 _ Not at all        ,House/Shelter will not protect against cold   ,5 _ Not at all         ,,,Don't Know,5 _ Not at all         ,,5-Not at all,1-Completely yes        ,Government loan         ,Confidence in government support                                ,1 _ Not at all        ,News on government decisions            ,Financial support
Bhaktapur,changunarayan,2,40-54,male,Newar,,Farmer/laborer,,No difficulty ,1 _ Not at all        ,Short-term shelter (tent/shelterbox)   ,Long-term shelter (housing)        ,Financial support,1 _ Not at all        ,"Relief distributed based on first come, first served                ",Government does not know what itês doing                            ,1 _ Not at all        ,How to get shelter materials                          ,How to replace personal documentation     ,1 _ Not at all        ,Reconstruction process taking too long                                   ,Reconstruction process taking too long                                   ,2 _ Not very much           ,Based on distance from the main road            ,"First come, first served                      ",1 _ Not at all        ,House/Shelter will not protect against cold   ,4 _ Not very much        ,,,3 _ Neutral                  ,5 _ Not at all         ,,2-Somewhat yes,1-Completely yes        ,Government loan         ,Confidence in government support                                ,1 _ Not at all        ,Repair/reconstruction of community buildings        ,News on government decisions            
Bhaktapur,changunarayan,2,40-54,male,Newar,,Farmer/laborer,,No difficulty ,2 _ Not very much,Short-term shelter (tent/shelterbox)   ,Long-term shelter (housing)        ,Financial support,1 _ Not at all        ,Reconstruction process taking too long                                   ,Government does not know what itês doing                            ,1 _ Not at all        ,News about government decisions               ,How to get shelter materials                          ,1 _ Not at all        ,Reconstruction process taking too long                                   ,"Relief distributed based on first come, first served                ",1 _ Not at all        ,"First come, first served                      ",Based on political parties                 ,1 _ Not at all        ,House/Shelter will not protect against cold   ,5 _ Not at all         ,,,3 _ Neutral                  ,5 _ Not at all         ,,4-Not very much,1-Completely yes        ,Government loan         ,Confidence in government support                                ,1 _ Not at all        ,Repair/reconstruction of community buildings        ,News on government decisions            
