"Agency","Date","District","VDC_Municipality","Ward","Age","Gender","Ethnicity","Ethnicity_Other","Occupation","Occupation_Other","Do_you_have_any_health_problem","A0JS","A1JS","A2JS","A3JS","B0JS","B1JS","B2JS","C0JS","C1JS","C2JS","D0JS","D1JS","D2JS","E0JS","E1JS","E2JS","F0JS","H0JS","I0JS","J0JS","J1JS","J2JS"
"Accountability","2015-07-16","Bhaktapur","Changunarayan",2,"40_54","Female","Newar",,"other","homemaker","no_difficulty","1___not_at_all","short_term_shelter__tent_shelt","psychosocial_counseling","livelihoods","1___not_at_all","building_mater","cash_for_work","1___not_at_all","how_to_get_shelter_materials","news_about_government_decision","1___not_at_all","building_mater","cash_for_work","don_t_know",,,"4___mostly_yes","2___not_very_m","1___not_at_all","1___not_at_all","long_term_shelter__housing","healthcare"
"Accountability","2015-07-16","Bhaktapur","Changunarayan",2,"40_54","Male","Chhetri",,"government_service__i_e__teach",,"yes__some_diff","1___not_at_all","long_term_shelter__housing","clean_water","healthcare","1___not_at_all","housing_inspec","cash_for_work","don_t_know",,,"1___not_at_all","cash_for_work","building_mater","1___not_at_all","based_on_caste","based_on_polit","5___completely_yes","1___not_at_all","1___not_at_all",,,
"Accountability","2015-07-16","Bhaktapur","Changuarayan",2,"25_39","Female","Chhetri",,"ngo_worker_business",,"no_difficulty","1___not_at_all","long_term_shelter__housing","clean_water","psychosocial_counseling","1___not_at_all","building_mater","cash_for_work","4___mostly_yes",,,"1___not_at_all","building_mater","cash_for_work","1___not_at_all","based_on_caste","based_on_polit","1___not_at_all","1___not_at_all","1___not_at_all","1___not_at_all","long_term_shelter__housing","option_18"
"Accountability","2015-07-16","Bhaktapur","Changunarayan",2,"40_54","Female","Brahmin",,"other","homemaker","no_difficulty","1___not_at_all","long_term_shelter__housing","housing_inspections","healthcare","1___not_at_all","building_mater","cash_for_work","1___not_at_all","news_about_government_decision","how_to_get_shelter_materials","don_t_know",,,"don_t_know",,,"2___very_little","2___not_very_m","1___not_at_all","1___not_at_all","toilets_sanitation","option_16"
"Accountability","2015-07-16","Bhaktapur","Jagati",6,"55","Male","Newar",,"skilled_worker__i_e__carpenter",,"no_difficulty","4___mostly_yes",,,,"2___very_little","cash_for_work","housing_inspec","2___very_little","how_to_get_shelter_materials","news_about_government_decision","4___mostly_yes",,,"don_t_know",,,"1___not_at_all","1___not_at_all","1___not_at_all",,,
"Accountability","2015-07-16","Bhaktapur","Jagati",4,"25_39","Male","Newar",,"farmer_laborer",,"no_difficulty","1___not_at_all","long_term_shelter__housing","clean_water","seeds_and_fertilizers","1___not_at_all","building_mater","cash_for_work","4___mostly_yes",,,"1___not_at_all","building_mater","cash_for_work","2___very_little","first_come__fi","only_if_damage","1___not_at_all","1___not_at_all","1___not_at_all",,,
"Accountability","2015-07-16","Bhaktapur","Jagati",6,"40_54","Female","Newar",,"skilled_worker__i_e__carpenter",,"no_difficulty","4___mostly_yes",,,,"1___not_at_all","cash_for_work","building_mater","1___not_at_all","news_about_government_decision","how_to_get_shelter_materials","1___not_at_all","cash_for_work","building_mater","4___mostly_yes",,,"4___mostly_yes","1___not_at_all","1___not_at_all","3___neutral","short_term_shelter__tent_shelt","financial_support"
"Accountability","2015-07-17","Bhaktapur","Madhyapur Thimi, Bodey",3,"55","Male","Newar",,"farmer_laborer",,"no_difficulty","1___not_at_all","long_term_shelter__housing","livelihoods","financial_support","1___not_at_all","cash_for_work","building_mater","1___not_at_all","news_about_government_decision","how_to_get_shelter_materials","1___not_at_all","cash_for_work","building_mater","1___not_at_all","only_if_damage","based_on_polit","1___not_at_all","1___not_at_all","1___not_at_all",,,
"Accountability","2015-07-15","Bhaktapur","Madhyapur Thimi, Bodey",3,"refused","Male","Newar",,"other","Businessman","no_difficulty","1___not_at_all","short_term_shelter__tent_shelt","financial_support","psychosocial_counseling","1___not_at_all","building_mater","cash_for_work","1___not_at_all","news_about_government_decision","how_to_get_shelter_materials","1___not_at_all","building_mater","cash_for_work","don_t_know",,,"4___mostly_yes","1___not_at_all","1___not_at_all",,,
"Accountability","2015-07-15","Bhaktapur","Madhyapur Thimi, Bodey",3,"40_54","Female","Newar",,"other","homemaker","no_difficulty","1___not_at_all","short_term_shelter__tent_shelt","financial_support","psychosocial_counseling","1___not_at_all","cash_for_work","building_mater","1___not_at_all","how_to_get_shelter_materials","news_about_government_decision","don_t_know",,,"don_t_know",,,"2___very_little","1___not_at_all","1___not_at_all","1___not_at_all","sanitary_products","healthcare"
"Accountability","2015-07-15","Bhaktapur","Madhyapur Thimi, Bodey",3,"25_39","Female","Newar",,"other","housewife","no_difficulty","1___not_at_all","food","financial_support","short_term_shelter__tent_shelt","2___very_little","housing_inspec","food_aid","1___not_at_all","how_to_get_shelter_materials","news_about_government_decision","4___mostly_yes",,,"1___not_at_all","first_come__fi","only_if_damage","4___mostly_yes","1___not_at_all","don_t_know","1___not_at_all","child_protection","short_term_shelter__tent_shelt"
"Accountability","2015-07-17","Bhaktapur","Bhalachhe",5,"25_39","Male","Newar",,"skilled_worker__i_e__carpenter",,"yes__some_diff","1___not_at_all","clean_water","housing_inspections","toilets_sanitation","1___not_at_all","cash_for_work","building_mater","1___not_at_all","news_about_government_decision","how_to_get_shelter_materials","2___very_little","building_mater","cash_for_work","5___completely_yes",,,"5___completely_yes","1___not_at_all","1___not_at_all",,,
"Accountability","2015-07-18","Bhaktapur","Dattatreya",3,"25_39","Female","Dalit",,"other","housewife","no_difficulty","1___not_at_all","long_term_shelter__housing","financial_support","livelihoods","1___not_at_all","building_mater","cash_for_work","1___not_at_all","news_about_government_decision","how_to_get_shelter_materials","1___not_at_all","building_mater","cash_for_work","1___not_at_all","first_come__fi","based_on_caste","1___not_at_all","1___not_at_all","1___not_at_all","1___not_at_all","short_term_shelter__tent_shelt","financial_support"
